passage_event,direction,lateral_crossing_offset_m
P0785,A,-101.512072
P0786,A,-2.177197
P0787,B,289.338095
P0788,B,-585.950562
P0789,A,-175.085308
P0790,B,15.242601
P0791,B,-51.658939
P0792,A,-244.582137
P0793,A,-146.546018
P0794,B,149.974157
P0795,A,-162.669282
P0796,A,-42.763345
P0797,B,205.571621
P0798,A,55.458470
P0799,B,194.452128
P0800,A,58.794317
P0801,A,-449.552193
P0802,B,-198.436242
P0803,A,-220.304948
P0804,A,-278.126310
P0805,B,288.967816
P0806,A,-162.669282
P0807,A,-345.028962
P0808,A,-304.071423
P0809,B,28.585992
P0810,A,-317.970788
P0811,B,253.199744
P0812,B,507.280151
P0813,A,-438.802979
P0814,A,-607.077598
P0815,B,327.515761
P0816,A,-288.319549
P0817,B,469.845267
P0818,A,-176.012673
P0819,A,-273.122539
P0820,B,-193.803862
P0821,A,-18.300461
P0822,B,299.717029
P0823,A,-143.766145
P0824,A,-12.740715
P0825,A,-225.494416
P0826,A,81.218998
P0827,B,243.007617
P0828,A,-429.351411
P0829,B,94.746973
P0830,A,-105.588478
P0831,B,136.630766
P0832,A,-302.959473
P0833,B,181.850407
P0834,B,424.439931
P0835,B,193.525874
P0836,B,94.562390
P0837,B,-76.493214
P0838,A,-295.547219
P0839,A,294.713257
P0840,B,244.119566
P0841,A,-103.550275
P0842,A,-92.801062
P0843,A,-3.845121
P0844,B,326.032421
P0845,A,-336.133368
P0846,B,209.093164
P0847,A,-323.160256
P0848,B,-5.328461
P0849,B,123.101679
P0850,A,-284.983701
P0851,A,-191.764547
P0852,B,-10.702512
P0853,B,48.045104
P0854,A,-518.863326
P0855,B,212.613595
P0856,A,-74.825290
P0857,A,-317.786205
P0858,B,-31.643852
P0859,A,-46.099193
P0860,B,52.122622
P0861,A,-243.099908
P0862,A,-332.055850
P0863,A,-348.549393
P0864,A,-431.019334
P0865,B,-180.089079
P0866,A,-255.331350
P0867,B,186.482788
P0868,B,-25.343548
P0869,A,-273.864209
P0870,A,-429.721690
P0871,B,131.256715
P0872,A,-208.259202
P0873,B,-398.772806
P0874,B,121.619451
P0875,A,-164.893181
P0876,B,205.015646
P0877,A,-317.044535
P0878,B,37.852977
P0879,A,-206.775862
P0880,A,-165.449155
P0881,A,-164.893181
P0882,A,-195.471785
P0883,A,-637.656202
P0884,A,-61.296203
P0885,B,270.434957
P0886,A,-165.077764
P0887,A,-1.621222
P0888,B,131.997274
P0889,B,-322.048306
P0890,A,-102.068047
P0891,B,263.022703
P0892,A,-278.126310
P0893,A,-556.483906
P0894,B,-3.474841
P0895,A,-212.521304
P0896,A,12.834118
P0897,B,209.277748
P0898,A,70.840064
P0899,B,214.281519
P0900,B,-167.117079
P0901,A,-607.263293
P0902,A,-152.290348
P0903,A,24.323890
P0904,B,58.608622
P0905,A,188.892382
P0906,B,150.344436
P0907,A,-109.480301
P0908,B,248.195972
P0909,A,-343.917013
P0910,B,22.099992
P0911,A,-117.819920
P0912,B,245.601794
P0913,A,-116.893667
P0914,B,157.943498
P0915,A,-183.610623
P0916,B,446.494332
P0917,A,-130.607337
P0918,B,120.507502
P0919,A,-139.874322
P0920,B,29.697941
P0921,A,27.474042
P0922,B,-17.744486
P0923,A,-33.683167
P0924,B,98.268516
P0925,A,-328.164027
P0926,A,-239.208086
P0927,B,253.755718
P0928,B,197.602280
P0929,A,-188.614394
P0930,A,-135.611109
P0931,B,237.818149
P0932,A,-139.132652
P0933,B,-230.312492
P0934,A,-499.774493
P0935,B,324.735888
P0936,A,-11.258486
P0937,A,154.792233
P0938,B,96.600593
P0939,A,-166.931384
P0940,B,293.415613
P0941,B,177.587193
P0942,B,-217.339380
P0943,B,49.342749
P0944,A,-27.752030
P0945,A,-103.179996
P0946,B,69.913810
P0947,A,-498.662544
P0948,B,214.837494
P0949,A,-58.330635
P0950,A,-139.502931
P0951,B,297.493131
P0952,B,13.204398
P0953,B,-165.263460
P0954,A,-128.939413
P0955,B,311.021105
P0956,A,-232.906669
P0957,A,-295.731803
P0958,B,-24.045903
P0959,A,33.775459
P0960,B,230.776175
P0961,A,159.425726
P0962,B,-37.759573
P0963,B,36.555332
P0964,A,-170.823206
P0965,B,121.619451
P0966,A,-137.279033
P0967,A,-133.943185
P0968,B,81.959557
P0969,A,59.535988
P0970,A,-138.020703
P0971,B,216.320834
P0972,A,-196.027760
P0973,B,437.783322
P0974,A,-124.677312
P0975,B,187.966128
P0976,A,-318.898154
P0977,A,-137.279033
P0978,B,-412.486476
P0979,A,-452.516650
P0980,B,141.634538
P0981,B,29.697941
P0982,A,-411.004248
P0983,B,242.265946
P0984,A,-234.574593
P0985,B,-9.404867
P0986,A,-163.409840
P0987,A,-80.385036
P0988,B,224.660454
P0989,A,-80.941011
P0990,B,-26.269801
P0991,B,298.233689
P0992,B,283.593765
P0993,A,-435.652827
P0994,B,-314.820636
